CatalogEntryParentProductRelationship
PartNumber,ParentPartNumber,Sequence
F8158.TUR.16,F8158,0
F8158.TUR.14,F8158,0
F8158.TUR.12,F8158,0
F8158.TUR.10,F8158,0
CMG63.MUL.XL,CMG63,0
CMG63.MUL.S,CMG63,0
CMG63.MUL.M,CMG63,0
CMG63.MUL.L,CMG63,0
BKH91.PIN.XL,BKH91,0
BKH91.PIN.L,BKH91,0
BKH91.PIN.M,BKH91,0
BKH91.PIN.S,BKH91,0
BKH91.PIN.XS,BKH91,0
CHG89A.LIL.8,CHG89,0
CHG89A.LIL.7,CHG89,0
CHG89A.LIL.6,CHG89,0
CHG89A.LIL.16,CHG89,0
CHG89A.LIL.14,CHG89,0
CHG89A.LIL.12,CHG89,0
CHG89A.LIL.10,CHG89,0
CHG90A.RED.S,CHG90,0
CHG90A.RED.XS,CHG90,0
CHG90A.RED.XL,CHG90,0
CHG90A.RED.M,CHG90,0
CHG90A.RED.L,CHG90,0
F8514.PRI.XL,F8514,0
F8514.PRI.S,F8514,0
F8514.PRI.M,F8514,0
F8514.PRI.L,F8514,0
F8516.WHI.XL,F8516,0
F8516.WHI.S,F8516,0
F8516.WHI.M,F8516,0
F8516.WHI.L,F8516,0
F8518.ORA.XL,F8518,0
F8518.ORA.S,F8518,0
F8518.ORA.M,F8518,0
F8518.ORA.L,F8518,0
F8533.PRI.XL,F8533,0
F8533.PRI.S,F8533,0
F8533.PRI.M,F8533,0
F8533.PRI.L,F8533,0
F8571.PIN.8,F8571,0
F8571.PIN.7,F8571,0
F8571.PIN.6,F8571,0
F8571.PIN.16,F8571,0
F8571.PIN.14,F8571,0
F8571.PIN.12,F8571,0
F8571.PIN.10,F8571,0
DKH98.PIN.XS,DKH98,0
DKH98.PIN.XL,DKH98,0
DKH98.PIN.L,DKH98,0
DKH98.PIN.S,DKH98,0
DKH98.PIN.M,DKH98,0
BKG43A.WHI.XS,BKG43,0
BKG43A.WHI.XL,BKG43,0
BKG43A.WHI.S,BKG43,0
BKG43A.WHI.M,BKG43,0
BKG43A.WHI.L,BKG43,0
BKG44A.DEN.8,BKG44,0
