CatalogEntryUpdate
PartNumber,Type,ParentGroupIdentifier,CurrencyCode,ListPrice,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Buyable,Published,Available,Delete
FHT06-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Curly, Bangs, Red",,,,1,1,1,0
FHT07-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Curly, Bangs, Brown",,,,1,1,1,0
FHT08-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Curly, Bangs, Dark Brown",,,,1,1,1,0
FHT09-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Curly, Bangs, Black",,,,1,1,1,0
FHT10-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Tight Curls, Light Blond",,,,1,1,1,0
FHT11-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Tight Curls, Blond",,,,1,1,1,0
FHT12-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Tight Curls, Light Red",,,,1,1,1,0
FHT13-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Tight Curls, Red",,,,1,1,1,0
FHT14-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Tight Curls, Brown",,,,1,1,1,0
FHT15-R70A,ItemBean,unassigned,USD,48,,"Medium-length, Tight Curls, Dark Brown",,,,1,1,1,0
FHT16-R70A,ItemBean,06,USD,48,Black Med Tight Curls  Wig,"Medium-length, Tight Curls, Black",,,,1,1,1,0
FHT17-R70A,ItemBean,unassigned,USD,48,,"Long, Straight, Light Blond",,,,1,1,1,0
FHT18-R70A,ItemBean,unassigned,USD,48,,"Long, Straight, Blond",,,,1,1,1,0
FHT19-R70A,ItemBean,unassigned,USD,48,,"Long, Straight, Light Red",,,,1,1,1,0
FHT20-R70A,ItemBean,unassigned,USD,48,,"Long, Straight, Red",,,,1,1,1,0
FHT21-R70A,ItemBean,unassigned,USD,48,,"Long, Straight, Brown",,,,1,1,1,0
FHT22-R70A,ItemBean,06,USD,48,DK BRN LNG STRT WIG,"Long, Straight, Dark Brown",,,,1,1,1,0
FHT23-R70A,ItemBean,unassigned,USD,48,,"Long, Straight, Black",,,,1,1,1,0
FHT24-R70A,ItemBean,unassigned,USD,48,,"Long, Straight, Bangs, Light Blond",,,,1,1,1,0
