CatalogEntry
PartNumber,Type,ParentGroupIdentifier,CurrencyCode,ListPrice,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Buyable,Published,Delete
11001-05689,ItemBean,05,USD,4,,,,,,,1,0
11001-05700,ItemBean,05,USD,6,,,,,,,1,0
11001-07400,ItemBean,unassigned,USD,12,,,,,,,1,0
11001-07408,ItemBean,05,USD,4,,,,,,,1,0
11001-07415,ItemBean,05,USD,12,,,,,,,1,0
11001-07417,ItemBean,05,USD,4,,,,,,,1,0
11001-07418,ItemBean,05,USD,4,,,,,,,1,0
11001-07429,ItemBean,05,USD,4,,,,,,,1,0
11001-07430,ItemBean,05,USD,2,,,,,,,1,0
11001-07431,ItemBean,05,USD,4,,,,,,,1,0
11001-07433,ItemBean,05,USD,2,,,,,,,1,0
11001-07434,ItemBean,05,USD,5,,,,,,,1,0
11001-07435,ItemBean,05,USD,3,,,,,,,1,0
11001-07436,ItemBean,05,USD,4,,,,,,,1,0
11001-07437,ItemBean,05,USD,2,,,,,,,1,0
11001-07438,ItemBean,05,USD,6,,,,,,,1,0
11001-07449,ItemBean,05,USD,3,,,,,,,1,0
11001-07450,ItemBean,05,USD,4,,,,,,,1,0
11001-07452,ItemBean,05,USD,4,,,,,,,1,0
11001-07453,ItemBean,05,USD,2,,,,,,,1,0
11001-07454,ItemBean,05,USD,6,,,,,,,1,0
11001-07463,ItemBean,05,USD,3,,,,,,,1,0
11001-07467,ItemBean,05,USD,3,,,,,,,1,0
11001-11582,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-11640,ItemBean,05,USD,2,,,,,,,1,0
11001-11643,ItemBean,05,USD,3,,,,,,,1,0
11001-11644,ItemBean,05,USD,2,,,,,,,1,0
11001-12900,ItemBean,unassigned,USD,4,,,,,,,1,0
11001-13197,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-17078,ItemBean,unassigned,USD,10,,,,,,,1,0
11001-17079,ItemBean,unassigned,USD,10,,,,,,,1,0
11001-19242,ItemBean,06,USD,2,,,,,,,1,0
11001-19272,ItemBean,06,USD,10,,,,,,,1,0
11001-19273,ItemBean,06,USD,8,,,,,,,1,0
11001-19281,ItemBean,06,USD,10,,,,,,,1,0
11001-22063,ItemBean,06,USD,4,,,,,,,1,0
11001-22064,ItemBean,06,USD,8,,,,,,,1,0
11001-22065,ItemBean,06,USD,2,,,,,,,1,0
11001-22066,ItemBean,06,USD,6,,,,,,,1,0
11001-22068,ItemBean,06,USD,2,,,,,,,1,0
11001-22069,ItemBean,06,USD,4,,,,,,,1,0
11001-22070,ItemBean,06,USD,4,,,,,,,1,0
11001-30651,ItemBean,06,USD,2,,,,,,,1,0
11001-30653,ItemBean,06,USD,2,,,,,,,1,0
11001-30654,ItemBean,06,USD,4,,,,,,,1,0
11001-30655,ItemBean,06,USD,4,,,,,,,1,0
11001-31095,ItemBean,06,USD,2,,,,,,,1,0
11001-31106,ItemBean,unassigned,USD,12,,,,,,,1,0
11001-31107,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-31144,ItemBean,unassigned,USD,3,,,,,,,1,0
11001-31157,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-31160,ItemBean,unassigned,USD,12,,,,,,,1,0
11001-31165,ItemBean,06,USD,2,,,,,,,1,0
11001-31166,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-31168,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-31170,ItemBean,unassigned,USD,8,,,,,,,1,0
11001-31171,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-31172,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-31173,ItemBean,unassigned,USD,10,,,,,,,1,0
11001-31174,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-31178,ItemBean,unassigned,USD,8,,,,,,,1,0
11001-31179,ItemBean,unassigned,USD,12,,,,,,,1,0
11001-31180,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-31187,ItemBean,unassigned,USD,14,,,,,,,1,0
11001-31199,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-31200,ItemBean,unassigned,USD,12,,,,,,,1,0
11001-31218,ItemBean,unassigned,USD,12,,,,,,,1,0
11001-31219,ItemBean,unassigned,USD,3,,,,,,,1,0
11001-31236,ItemBean,unassigned,USD,8,,,,,,,1,0
11001-31237,ItemBean,unassigned,USD,4,,,,,,,1,0
11001-31238,ItemBean,unassigned,USD,8,,,,,,,1,0
11001-31240,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-31242,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-31244,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-31247,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-31248,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-31249,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-31251,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-31252,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-47311,ItemBean,unassigned,USD,8,,,,,,,1,0
11001-47317,ItemBean,unassigned,USD,10,,,,,,,1,0
11001-47318,ItemBean,unassigned,USD,4,,,,,,,1,0
11001-47336,ItemBean,04,USD,4,,,,,,,1,0
11001-47337,ItemBean,04,USD,10,,,,,,,1,0
11001-47345,ItemBean,04,USD,6,,,,,,,1,0
11001-47346,ItemBean,04,USD,6,,,,,,,1,0
11001-47348,ItemBean,04,USD,2,,,,,,,1,0
11001-47349,ItemBean,04,USD,6,,,,,,,1,0
11001-47357,ItemBean,04,USD,10,,,,,,,1,0
11001-47361,ItemBean,04,USD,10,,,,,,,1,0
11001-47407,ItemBean,02,USD,10,,,,,,,1,0
11001-47440,ItemBean,02,USD,6,,,,,,,1,0
11001-47441,ItemBean,02,USD,12,,,,,,,1,0
11001-47442,ItemBean,02,USD,4,,,,,,,1,0
11001-47445,ItemBean,unassigned,USD,10,,,,,,,1,0
11001-47446,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-47447,ItemBean,unassigned,USD,10,,,,,,,1,0
11001-47450,ItemBean,02,USD,6,,,,,,,1,0
11001-47454,ItemBean,02,USD,4,,,,,,,1,0
11001-47455,ItemBean,02,USD,14,,,,,,,1,0
11001-47456,ItemBean,02,USD,6,,,,,,,1,0
11001-47457,ItemBean,02,USD,8,,,,,,,1,0
11001-47464,ItemBean,02,USD,10,,,,,,,1,0
11001-47465,ItemBean,02,USD,25,,,,,,,1,0
11001-47467,ItemBean,unassigned,USD,14,,,,,,,1,0
11001-47468,ItemBean,02,USD,6,,,,,,,1,0
11001-47469,ItemBean,unassigned,USD,3,,,,,,,1,0
11001-47470,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-47472,ItemBean,02,USD,22,,,,,,,1,0
11001-48647,ItemBean,unassigned,USD,4,,,,,,,1,0
11001-48650,ItemBean,unassigned,USD,6,,,,,,,1,0
11001-48652,ItemBean,unassigned,USD,10,,,,,,,1,0
11001-48653,ItemBean,unassigned,USD,8,,,,,,,1,0
11001-48654,ItemBean,unassigned,USD,8,,,,,,,1,0
11001-48655,ItemBean,unassigned,USD,12,,,,,,,1,0
11001-48656,ItemBean,unassigned,USD,2,,,,,,,1,0
11001-48661,ItemBean,unassigned,USD,40,,,,,,,1,0
11001-48670,ItemBean,unassigned,USD,12,,,,,,,1,0
11001-48673,ItemBean,unassigned,USD,12,,,,,,,1,0
