CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
B9170A,csr_nla_,0
BBB89,csr_nla_,0
BBF07,csr_nla_,0
BBF07,CategoryFigures,88
BBF08,Age12to24Month,306
BBF08,Age2to3Years,353
BBF08,Age5Plus,419
BBF08,Age4to5Years,472
BBF08,Age3to4Years,483
BBF08,csr_nla_,0
BBP06,csr_nla_,0
BBP06,SET_COMPONENTS,0
BBX06,AgeBirth6Month,92
BBX06,AgeBabyOnWay,68
BBX06,Age6to12Month,26
BBX06,Age12to24Month,113
BBX06,BabyGear,30
BBX06,csr_nla_,0
BBX06,Clearance,226
BBX06,BrandsBabyGear,22
BBX06,Cat_HighChairs_Boosters,14
BCD08,csr_nla_,0
BCK66,csr_nla_,0
BCK67,csr_nla_,0
BCK68,csr_nla_,0
BCK69,csr_nla_,0
BCK70,csr_nla_,0
BCK71,csr_nla_,0
BCK86,Clearance,238
BCK86,csr_nla_,0
BCK89,FPStoreBrands,18
BCK89,Halloween_sale,34
BCK89,Age5Plus,240
BCK89,Age3to4Years,248
BCK89,Age4to5Years,247
BCK89,FPEasterSale,12
BCK89,FPEasterPowerWheels,16
BCK89,BrandsPowerWheels,6
BCK89,FPStoreBMSM,305
BCK89,FPStoreHotGifts,45
BCK89,FPStoreCategory,174
BCK89,CategoryRideOn,20
BCK89,Sports_Outdoor,15
BCK89,FPStoreGifts,86
BCK89,FPStoreAge,222
BCK89,FPStoreGiftsGirls,205
BCK92,FPStoreBrands,67
BCK92,Halloween_sale,1
BCK92,Age12to24Month,101
BCK92,Age2to3Years,142
BCK92,FPEasterSale,90
BCK92,Age3to4Years,238
BCK92,FPEasterPowerWheels,5
BCK92,BrandsPowerWheels,1
BCK92,FPStoreCategory,260
BCK92,BrandsThomasFriends,262
BCK92,Age4to5Years,172
BCK92,ExclusiveHardToFind,16
BCK92,CategoryRideOn,9
BCK92,TodaySales,700
BCK92,Age5Plus,167
BCK92,CATALOGTESTING_NOTFORDISPLAY,16
BCK92,FPStoreAge,213
BCK92,FPStoreGifts,191
BCK92,FPStoreHotGifts,50
BCK92,FPStoreGiftsBoys,200
BCL71,csr_nla_,0
BCM63,csr_nla_,0
BCM84,csr_nla_,0
BCM84,CategoryFigures,169
BCN10,Age5Plus,391
BCN10,Age4to5Years,428
BCN10,Age3to4Years,454
BCN10,csr_nla_,0
BCN11,Age5Plus,386
BCN11,Age4to5Years,424
BCN11,Age3to4Years,449
BCN11,csr_nla_,0
BCN12,csr_nla_,0
BCN12,Sea,15
BCN13,Age5Plus,388
BCN13,Age4to5Years,425
BCN13,Age3to4Years,450
BCN13,csr_nla_,0
BCV57,csr_nla_,0
BCV59,FPStoreBrands,68
BCV59,Age5Plus,248
BCV59,Age3to4Years,255
BCV59,Age4to5Years,255
BCV59,FPEasterSale,183
BCV59,FPEasterPowerWheels,15
BCV59,BrandsPowerWheels,20
BCV59,FPStoreBMSM,311
BCV59,FPStoreCategory,301
BCV59,CategoryRideOn,27
BCV59,Sports_Outdoor,22
BCV59,TodaySales,660
BCV59,FPStoreGifts,87
BCV59,FPStoreAge,356
BCV59,FPStoreGiftsGirls,208
BCX21,csr_nla_,0
BCX23,FPStoreBrands,528
BCX23,Age2to3Years,73
BCX23,Age5Plus,222
BCX23,Age4to5Years,226
BCX23,Age3to4Years,181
BCX23,FPStoreBMSM,374
BCX23,CategoryPlaysets,106
BCX23,FPStoreCategory,480
BCX23,BrandsThomasFriends,310
BCX23,TakeNPlay,10
BCX23,CategoryFigsPlaysets,249
BCX23,CategoryPlaysetsSub,106
BCX23,CategoryTrains,59
BCX23,CategoryTrainSetsAccessories,5
BCX23,FPStoreAge,518
BCX23,TodaySales,4700
BCX23,FPStoreGifts,288
BCX23,CATALOGTESTING_NOTFORDISPLAY,5
BCX23,FPStoreGiftsBoys,260
BCX23,FPStoreGiftsunder50,448
BCX70,csr_nla_,0
BCX71,csr_nla_,0
BCX72,FPStoreBrands,527
BCX72,Age12to24Month,293
BCX72,Age2to3Years,46
BCX72,Age3to4Years,156
BCX72,FPStoreBMSM,348
BCX72,CategoryVehicles,86
BCX72,FPStoreCategory,569
BCX72,Land,56
