CatalogEntryParentCatalogGroupRelationship
PartNumber,ParentGroupIdentifier,Sequence
BCP77,lauri-sipos,0
BCP77,pink-label,0
BCP77,end-of-summer-sale,23
BDT23,fantasy-dolls,18
BDT23,clothing,3
BDT23,collectible-dolls,11
BDT23,fashion-dolls,12
BDT23,dolls,49
BDT23,gift-guide,13
BFW11,world-culture-dolls,1
BFW11,clothing,4
BFW11,collectible-dolls,12
BFW11,fashion-dolls,13
BFW11,dolls,50
BFW11,gift-guide,14
BHY13,world-culture-dolls,2
BHY13,clothing,5
BHY13,collectible-dolls,13
BHY13,fashion-dolls,14
BHY13,dolls,51
BHY13,gift-guide,15
BLL67,world-culture-dolls,3
BLL67,clothing,6
BLL67,collectible-dolls,14
BLL67,fashion-dolls,15
BLL67,dolls,52
BLL67,gift-guide,16
BLL68,world-culture-dolls,4
BLL68,clothing,7
BLL68,collectible-dolls,15
BLL68,fashion-dolls,16
BLL68,dolls,53
BLL68,gift-guide,17
BLT09,world-culture-dolls,5
BLT09,clothing,8
BLT09,collectible-dolls,16
BLT09,dolls,54
BLT09,gift-guide,18
BLT10,world-culture-dolls,6
BLT10,clothing,9
BLT10,collectible-dolls,17
BLT10,dolls,55
BLT10,gift-guide,19
CHP24,world-culture-dolls,7
CHP24,clothing,10
CHP24,dolls,56
CHP24,gift-guide,20
BCP20,world-culture-dolls,8
BCP20,clothing,11
BCP20,doll-clothes,1
BCP20,designer-dolls,1
BCP20,dolls,57
BCP20,gift-guide,21
BCP32,world-culture-dolls,9
BCP32,shoes-accessories,1
BCP32,doll-clothes,2
BCP32,designer-dolls,2
BCP32,dolls,58
BCP32,gift-guide,22
BCP70,bc-pop-culture,4
BCP70,divergent-dolls,3
BCP70,2014-hollywood-pop-culture,8
BCP70,2014-collection,21
BCP70,special-offers,35
BCP70,black-label-dolls,16
BCP70,pop-culture-dolls,7
BCP70,barbie-dolls,50
BCP70,bill-greening,0
BCP70,divergent-collection,3
BCP70,black-label,0
BCP70,email-promo,20
BCP70,bcshop,49
BCP70,end-of-summer-sale,27
BDG48,world-culture-dolls,10
BDG48,shoes-accessories,2
BDG48,doll-clothes,3
BDG48,designer-dolls,3
BDG48,dolls,59
BDG48,gift-guide,23
BJP38,world-culture-dolls,11
BJP38,shoes-accessories,3
BJP38,doll-clothes,4
BJP38,designer-dolls,4
